City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Kaiyuan,CN,23.6977,103.3037,77.54,68,15,1.43,few clouds
175,Gilgit,PK,35.9221,74.3087,75.42,53,5,4.76,clear sky
176,Yamada,JP,39.4667,141.95,70.95,64,61,4.32,broken clouds
177,Xining,CN,36.6167,101.7667,62.89,30,100,1.97,overcast clouds
178,Makakilo City,US,21.3469,-158.0858,78.55,72,75,10.36,broken clouds
179,Grand Forks,US,47.9417,-97.4337,58.68,59,100,2.24,overcast clouds
180,Carroll,US,39.5501,-77.0164,55.45,84,1,0.0,clear sky
181,Pampa,US,35.5362,-100.9599,59.95,100,75,6.91,mist
182,Port-Gentil,GA,-0.7193,8.7815,77.43,84,100,9.91,overcast clouds
183,Bredasdorp,ZA,-34.5322,20.0403,53.28,83,49,11.5,moderate rain
184,Charagua,BO,-19.8,-63.2167,64.78,81,99,6.38,overcast clouds
185,Santiago De Cuba,CU,20.0247,-75.8219,77.52,94,16,3.62,few clouds
186,Whitehorse,CA,60.7161,-135.0538,45.01,70,90,18.01,light rain
187,Okhotsk,RU,59.3833,143.3,35.96,90,58,0.89,broken clouds
188,Shakawe,BW,-18.3667,21.85,66.79,19,11,7.36,few clouds
189,Mount Isa,AU,-20.7333,139.5,94.77,10,2,11.5,clear sky
190,Saskylakh,RU,71.9167,114.0833,25.63,95,94,4.38,overcast clouds
191,Preobrazheniye,RU,42.9019,133.9064,64.15,42,16,7.63,few clouds
192,Miles City,US,46.4083,-105.8406,59.5,29,0,5.28,clear sky
193,Mosquera,CO,4.7059,-74.2302,55.49,88,40,2.3,scattered clouds
194,Zavitinsk,RU,50.1167,129.45,49.3,57,14,5.46,few clouds
195,Santa Rosalia,MX,27.3167,-112.2833,77.34,63,0,1.25,clear sky
196,Narsaq,GL,60.9167,-46.05,36.09,44,0,4.45,clear sky
197,Kurilsk,RU,45.2333,147.8833,54.18,96,100,14.34,overcast clouds
198,Verkhnevilyuysk,RU,63.4453,120.3167,42.3,49,54,4.72,broken clouds
199,Bilibino,RU,68.0546,166.4372,11.91,89,77,3.27,broken clouds
200,Jiuquan,CN,39.7432,98.5174,62.1,32,7,9.04,clear sky
201,Almenara,BR,-16.1836,-40.6944,72.46,86,61,3.4,broken clouds
202,Pevek,RU,69.7008,170.3133,23.36,70,26,9.15,scattered clouds
203,Spencer,US,43.1414,-95.1444,65.77,92,58,5.59,broken clouds
204,Mahebourg,MU,-20.4081,57.7,76.24,73,75,12.66,broken clouds
205,Monteagudo,BO,-19.8167,-63.9833,63.39,96,88,3.36,overcast clouds
206,Cabo San Lucas,MX,22.8909,-109.9124,83.61,81,50,4.12,scattered clouds
207,Nemuro,JP,43.3236,145.575,59.43,90,100,23.49,overcast clouds
208,Moose Factory,CA,51.2585,-80.6094,50.0,93,90,6.91,overcast clouds
209,Lata,PT,40.1629,-8.3327,63.81,98,89,1.34,overcast clouds
210,Cagli,IT,43.5457,12.6527,57.15,78,35,0.58,scattered clouds
211,Riachao Das Neves,BR,-11.7461,-44.91,80.74,40,69,1.45,broken clouds
212,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,91,31,6.24,scattered clouds
213,Urubicha,BO,-15.3833,-62.95,78.67,56,55,3.6,broken clouds
214,Anjozorobe,MG,-18.4,47.8667,55.72,88,39,4.92,scattered clouds
215,Nara,JP,34.6851,135.8049,82.9,37,0,5.73,clear sky
216,Ashcroft,CA,50.7165,-121.2859,57.54,65,100,5.91,overcast clouds
217,Pecos,US,31.4229,-103.4932,68.31,77,1,5.75,clear sky
218,Sakakah,SA,29.9697,40.2064,76.57,17,0,5.44,clear sky
219,Provideniya,RU,64.3833,-173.3,25.63,78,31,6.11,scattered clouds
220,Talnakh,RU,69.4865,88.3972,25.36,91,93,2.1,overcast clouds
221,San Policarpo,PH,12.1791,125.5072,83.62,77,100,6.49,overcast clouds
222,Santa Cruz,BO,-17.8,-63.1667,80.06,69,78,5.75,broken clouds
223,Inyonga,TZ,-6.7167,32.0667,67.48,50,99,2.64,overcast clouds
224,Prince George,CA,53.9166,-122.753,49.44,58,40,2.3,scattered clouds
225,Karratha,AU,-20.7377,116.8463,81.79,22,3,14.45,clear sky
226,Tomatlan,MX,19.9333,-105.25,75.49,96,100,3.2,overcast clouds
