City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Thompson,CA,2021-09-30 22:20:02,55.7435,-97.8558,66.36,37,20,3.44
144,Northam,GB,2021-09-30 22:20:06,51.0333,-4.2167,61.34,96,100,18.48
145,Snezhnogorsk,RU,2021-09-30 22:20:07,69.1933,33.2531,42.58,86,90,7.05
146,Saint-Augustin,CA,2021-09-30 22:20:07,51.226,-58.6502,45.28,93,100,28.34
147,Mayahi,NE,2021-09-30 22:20:08,13.9553,7.6712,90.18,20,6,7.36
148,Stornoway,GB,2021-09-30 22:20:09,58.2093,-6.3865,51.93,93,40,6.91
149,Tessalit,ML,2021-09-30 22:20:10,20.1986,1.0114,86.43,9,7,10.38
150,Gorontalo,ID,2021-09-30 22:20:10,0.5412,123.0595,74.95,94,69,2.35
151,Veraval,IN,2021-09-30 22:20:11,20.9,70.3667,80.55,87,99,13.24
152,Konya,TR,2021-09-30 22:20:12,38.1667,32.5,49.48,60,20,6.26
153,Port Blair,IN,2021-09-30 22:16:04,11.6667,92.75,81.03,83,60,8.55
154,Verkhniy Baskunchak,RU,2021-09-30 22:19:14,48.2256,46.7217,44.56,52,4,6.6
155,Mokolo,CM,2021-09-30 22:20:14,10.7398,13.8019,76.62,62,100,1.81
156,Kawalu,ID,2021-09-30 22:20:14,-7.3817,108.2082,72.09,95,96,2.46
157,Fuente De Oro,CO,2021-09-30 22:20:15,3.4594,-73.6128,79.79,81,75,1.43
158,Scarborough,GB,2021-09-30 22:16:06,54.2797,-0.4044,57.52,89,100,4.0
159,Shimoda,JP,2021-09-30 22:20:16,34.6667,138.95,67.1,94,100,33.55
160,Fortuna,US,2021-09-30 22:20:17,40.5982,-124.1573,81.19,65,1,8.99
161,La Ronge,CA,2021-09-30 22:20:18,55.1001,-105.2842,68.25,28,75,10.36
162,Saint-Joseph,RE,2021-09-30 22:20:19,-21.3667,55.6167,70.16,78,37,10.13
163,Rocha,UY,2021-09-30 22:20:20,-34.4833,-54.3333,57.96,95,100,9.01
164,Ketchikan,US,2021-09-30 22:19:06,55.3422,-131.6461,55.38,95,100,5.14
165,Esmeraldas,BR,2021-09-30 22:20:21,-19.7625,-44.3139,83.26,59,62,6.11
166,Cumberland,US,2021-09-30 22:20:22,35.0502,-78.8664,81.41,62,20,3.44
167,Victoria,HK,2021-09-30 22:20:23,22.2855,114.1577,85.96,85,14,1.99
168,Kiunga,PG,2021-09-30 22:20:24,-6.1219,141.2906,75.97,97,96,2.44
169,Kinablangan,PH,2021-09-30 22:20:24,7.6947,126.5503,78.35,83,83,3.8
170,Stege,DK,2021-09-30 22:20:25,54.987,12.2846,56.05,71,55,22.26
171,Amqui,CA,2021-09-30 22:20:26,48.4638,-67.4313,45.79,93,99,8.52
172,Mahebourg,MU,2021-09-30 22:20:27,-20.4081,57.7,72.25,78,75,13.8
173,Kirkwall,GB,2021-09-30 22:20:27,58.9848,-2.9587,51.96,90,32,8.05
174,Erzin,TR,2021-09-30 22:20:28,36.9559,36.2,72.0,78,4,1.21
175,Anadyr,RU,2021-09-30 22:20:29,64.75,177.4833,21.7,79,0,4.47
176,Lamu,KE,2021-09-30 22:20:30,-2.2717,40.902,77.22,84,96,14.79
177,Itapora,BR,2021-09-30 22:20:30,-22.0799,-54.7874,93.42,26,55,8.55
178,Pacifica,US,2021-09-30 22:20:31,37.6138,-122.4869,90.21,34,1,10.36
179,Saldanha,ZA,2021-09-30 22:20:32,-33.0117,17.9442,57.25,87,0,8.05
180,San Juan,AR,2021-09-30 22:20:01,-31.5375,-68.5364,72.73,26,0,19.17
181,Lumberton,US,2021-09-30 22:19:52,34.6182,-79.0086,83.34,49,97,5.53
182,Faanui,PF,2021-09-30 22:20:34,-16.4833,-151.75,79.39,71,3,17.22
183,Salalah,OM,2021-09-30 22:20:35,17.0151,54.0924,80.69,83,40,4.61
184,Mizdah,LY,2021-09-30 22:20:36,31.4451,12.9801,65.5,80,0,6.64
