City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
432,Oyama,JP,86.59,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
435,Celestun,MX,80.91,scattered clouds,20.8667,-90.4,Posada Lilia
436,Rancho Palos Verdes,US,80.67,clear sky,33.7445,-118.387,Terranea Resort
445,Conde,BR,76.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
451,Manjeshwar,IN,83.35,overcast clouds,12.7194,74.8861,SOOFINAGAR
452,Sur,OM,87.87,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
457,Griffith,US,75.88,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
460,Hasaki,JP,81.0,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
463,Prainha,BR,76.26,overcast clouds,-1.8,-53.48,Casa Rocha
465,Allapalli,IN,83.3,scattered clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
470,Butterworth,MY,88.0,light rain,5.3991,100.3638,Cititel Penang
474,Ouahigouya,BF,80.56,overcast clouds,13.5828,-2.4216,Hotel Liberte
477,Itsukaichi,JP,87.67,clear sky,35.7253,139.2178,ゲストハウスINA /伊奈キャンプ村
479,Daru,PG,83.05,broken clouds,-9.0763,143.2092,Daru Lodge
481,Yangliuqing,CN,75.15,scattered clouds,39.1375,116.9997,Thank U Express Tianjin Kaiyuan Road
482,Olinda,BR,76.73,mist,-8.0089,-34.8553,Hotel Albergue de Olinda
485,Bonthe,SL,76.84,moderate rain,7.5264,-12.505,Bonthe Holiday Village
488,Umm Lajj,SA,79.99,clear sky,25.0213,37.2685,Moon light Furnished Units
491,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
492,Bayonet Point,US,79.99,few clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
494,Daye,CN,87.06,scattered clouds,30.0833,114.95,丽江花马驿精品客栈
497,Tecoanapa,MX,79.5,overcast clouds,16.5167,-98.75,Hotel Manglares
500,Matara,LK,82.04,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
501,Dakar,SN,80.73,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
507,Itarema,BR,78.6,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
510,Mongo,TD,76.62,broken clouds,12.1844,18.693,Résidences du Programme FIDA
515,Namatanai,PG,85.1,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
516,San Pedro De Macoris,DO,75.33,scattered clouds,18.4616,-69.2972,Apartahotel Guaraguao
518,Pasni,PK,80.51,light rain,25.2631,63.471,Kashmiri Hotal
